,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9
,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,SMITH,SMITH,SMITH,SMITH,SMITH,SMITH,NEITA,NEITA,NEITA,NEITA,NEITA,NEITA,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY
Time,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist
00:00.000,-100.131,9.07,0.000,0.000,0.000,0.000,-100.131,7.85,0.000,0.000,0.000,0.000,-100.131,6.63,0.000,0.000,0.000,0.000,-100.131,5.41,0.000,0.000,0.000,0.000,-100.131,4.19,0.000,0.000,0.000,0.000,-100.131,2.97,0.000,0.000,0.000,0.000,-100.131,1.75,0.000,0.000,0.000,0.000,-100.131,0.53,0.000,0.000,0.000,0.000
00:00.000,-100.131,9.07,1.000,6.138,0.000,0.000,-100.131,7.85,0.955,4.775,0.000,0.000,-100.131,6.63,1.000,7.038,0.000,0.000,-100.131,5.41,1.000,5.063,0.000,0.000,-100.131,4.19,1.000,7.788,0.000,0.000,-100.131,2.97,0.853,4.263,0.000,0.000,-100.131,1.75,1.000,6.000,0.000,0.000,-100.131,0.53,0.380,1.900,0.000,0.000
00:00.496,-99.64,9.07,1.485,8.183,0.490,0.490,-99.749,7.85,1.273,6.367,0.381,0.381,-99.568,6.63,1.605,9.383,0.562,0.562,-99.726,5.41,1.342,6.750,0.404,0.404,-99.507,4.19,1.705,10.383,0.623,0.623,-99.79,2.97,1.422,5.691,0.340,0.340,-99.65,1.75,1.517,6.250,0.480,0.480,-99.979,0.53,0.695,2.842,0.151,0.151
00:00.596,-99.252,9.07,2.030,7.914,0.878,0.878,-99.44,7.85,1.648,6.078,0.690,0.690,-99.245,6.63,2.151,8.980,0.885,0.885,-99.366,5.41,1.809,6.553,0.764,0.764,-99.143,4.19,2.257,9.602,0.987,0.987,-99.431,2.97,1.963,6.616,0.682,0.682,-99.38,1.75,1.909,6.200,0.750,0.750,-99.773,0.53,1.046,3.687,0.357,0.357
00:00.596,-99.252,9.07,2.356,7.752,0.878,0.878,-99.44,7.85,1.873,5.904,0.690,0.690,-99.245,6.63,2.478,8.738,0.885,0.885,-99.366,5.41,2.089,6.435,0.764,0.764,-99.143,4.19,2.588,9.134,0.987,0.987,-99.431,2.97,2.288,7.172,0.682,0.682,-99.38,1.75,2.144,6.170,0.750,0.750,-99.773,0.53,1.256,4.194,0.357,0.357
00:00.596,-99.252,9.07,2.661,7.485,0.878,0.878,-99.44,7.85,2.141,5.938,0.690,0.690,-99.245,6.63,2.763,8.262,0.885,0.885,-99.366,5.41,2.399,6.466,0.764,0.764,-99.143,4.19,2.846,8.398,0.987,0.987,-99.431,2.97,2.674,7.599,0.682,0.682,-99.38,1.75,2.464,6.455,0.750,0.750,-99.773,0.53,1.610,5.071,0.357,0.357
00:00.696,-98.827,9.07,2.928,6.734,0.878,1.303,-99.135,7.85,2.464,5.733,0.690,0.995,-98.786,6.63,3.002,7.257,0.885,1.344,-98.984,5.41,2.671,5.917,0.764,1.146,-98.697,4.19,2.993,7.151,0.987,1.433,-98.985,2.97,2.974,6.967,0.682,1.145,-99.018,1.75,2.772,6.124,0.750,1.112,-99.503,0.53,1.939,4.914,0.357,0.627
00:00.796,-98.353,9.07,3.128,6.170,0.878,1.777,-98.714,7.85,2.707,5.579,0.690,1.416,-98.325,6.63,3.180,6.503,0.885,1.805,-98.513,5.41,2.875,5.505,0.764,1.617,-98.263,4.19,3.103,6.215,0.987,1.867,-98.422,2.97,3.199,6.493,0.682,1.708,-98.509,1.75,3.002,5.876,0.750,1.621,-99.032,0.53,2.185,4.796,0.357,1.098
00:00.796,-98.353,9.07,3.312,5.670,0.878,1.777,-98.714,7.85,2.920,5.220,0.690,1.416,-98.325,6.63,3.369,6.075,0.885,1.805,-98.513,5.41,3.056,5.122,0.764,1.617,-98.263,4.19,3.266,5.844,0.987,1.867,-98.422,2.97,3.367,5.904,0.682,1.708,-98.509,1.75,3.182,5.375,0.750,1.621,-99.032,0.53,2.429,4.647,0.357,1.098
00:00.796,-98.353,9.07,3.460,5.269,0.878,1.777,-98.714,7.85,3.090,4.933,0.690,1.416,-98.325,6.63,3.520,5.733,0.885,1.805,-98.513,5.41,3.200,4.816,0.764,1.617,-98.263,4.19,3.397,5.547,0.987,1.867,-98.422,2.97,3.501,5.433,0.682,1.708,-98.509,1.75,3.327,4.974,0.750,1.621,-99.032,0.53,2.670,4.581,0.357,1.098
