event_name,event_hrefs,athlete_href,athlete_sb,athlete_pb,first_name,last_name,birthdate,country
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14377443.html,,6.03,Thiago,BRAZ,16/12/1993,Brazil
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14307333.html,,20.63,Michelle,CARTER,12/10/1985,United States
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14574865.html,,47.02,Rai,BENJAMIN,27/07/1997,United States
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14486785.html,1.94,1.99,Vashti,CUNNINGHAM,18/01/1998,United States
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14707661.html,,9:07.94,Peruth,CHEMUTAI,10/07/1999,Uganda
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/14432012.html,,13.03,Devon,ALLEN,12/12/1994,United States
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14500229.html,21.32,21.66,Konrad,BUKOWIECKI,17/03/1997,Poland
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14259917.html,,8:22.22,Almaz,AYANA,21/11/1991,Ethiopia
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14290578.html,4:01.15,3:59.15,Rababe,ARAFI,12/01/1991,Morocco
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14368362.html,,3:50.42,Bethwell,BIRGEN,06/08/1988,Kenya
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14679502.html,,6.05,Armand,DUPLANTIS,10/11/1999,Sweden
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14269885.html,,19.21,Aliona,DUBITSKAYA,25/01/1990,Belarus
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14234898.html,,47.24,Kerron,CLEMENT,31/10/1985,United States
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14302558.html,,1.97,Erika,KINSEY,10/03/1988,Sweden
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14383286.html,,8:44.32,Beatrice,CHEPKOECH,06/07/1991,Kenya
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/14540136.html,,13.05,Ronald,LEVY,30/10/1992,Jamaica
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14369211.html,,22.65,Ryan,CROUSER,18/12/1992,United States
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14601536.html,8:33.29,8:33.29,Yasemin,CAN,11/12/1996,Turkey
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14268335.html,4:09.36,4:09.36,Melissa,BISHOP,05/08/1988,Canada
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14234521.html,,3:50.53,Matthew,CENTROWITZ,18/10/1989,United States
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14440868.html,,6.00,Sam,KENDRICKS,07/09/1992,United States
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14533525.html,,,Chase,EALEY,20/07/1994,United States
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14169627.html,,47.81,Yasmani,COPELLO,15/04/1987,Turkey
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14409457.html,,1.97,Morgan,LAKE,12/05/1997,Great Britain & NI
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14530630.html,,9:08.23,Roseline,CHEPNGETICH,17/06/1997,Kenya
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/14360095.html,,12.95,Pascal,MARTINOT-LAGARDE,22/09/1991,France
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14471190.html,,22.08,MichaÅ,HARATYK,10/04/1992,Poland
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14749924.html,8:49.05,8:49.05,Beatrice,CHEBET,05/03/2000,Kenya
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14288808.html,4:02.84,3:59.16,Winny,CHEBET,20/12/1990,Kenya
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14643526.html,,3:49.64,Timothy,CHERUIYOT,20/11/1995,Kenya
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14185853.html,,6.05,Renaud,LAVILLENIE,18/09/1986,France
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14426023.html,,19.46,Maggie,EWEN,23/09/1994,United States
